date,dining_only_revenue,non_dining_revenue,ppc_spend,meta_spend
09/10/2024,5353.74,1344105.137,0,0
10/10/2024,5166.882,1158865.803,0,0
11/10/2024,3113.91,1212829.19,0,0
12/10/2024,8967.6288,2970105.665,0,0
13/10/2024,10761.4192,2836015.769,0,0
14/10/2024,4758.9696,1696131.695,0,0
15/10/2024,9846.5892,1827750.913,0,0
16/10/2024,4663.33,1276736.181,0,0
17/10/2024,5997.6744,1117531.674,0,0
18/10/2024,1722,1223742.695,0,0
19/10/2024,4895.2372,2615234.414,0,0
20/10/2024,6511.62,2708493.29,0,0
21/10/2024,7654.42,1819060.104,0,0
22/10/2024,5617.7792,1670591.254,0,0
23/10/2024,6600.978,1326534.87,0,0
24/10/2024,7199.742,1279710.023,0,0
25/10/2024,8163.54,1444868.854,0,0
26/10/2024,10188.2,2409099.908,0,0
27/10/2024,6894.2328,2759554.414,0,0
28/10/2024,8750.8224,1854451.224,0,0
29/10/2024,12286.6304,1919023.247,0,0
30/10/2024,8445.152,1484337.509,0,0
31/10/2024,2370.32,1183862.905,0,0
01/11/2024,8522.7544,1793528.698,0,0
02/11/2024,5846.346,2721900.326,0,0
03/11/2024,5066.8296,3207834.519,0,0
04/11/2024,8867.1992,1965804.016,0,0
05/11/2024,4425.05,1589490.464,0,0
06/11/2024,7662.44,1559955.992,0,0
07/11/2024,4167.846,1316524.591,0,0
08/11/2024,4839.64,1545228.062,0,0
09/11/2024,8935.3656,2636264.528,0,0
10/11/2024,8675.3188,3460874.666,0,0
11/11/2024,4909.2,2032024.566,0,0
12/11/2024,7207.8688,1580175.53,0,0
13/11/2024,7104.48,1085527.039,0,0
14/11/2024,4418.526,1137085.173,0,0
15/11/2024,5581.1984,1285372.706,0,0
16/11/2024,9441.048,2341440.701,0,0
17/11/2024,7160.814,2459840.978,0,0
18/11/2024,10703.82,1883789.889,0,0
19/11/2024,6119.8568,1374424.909,0,0
20/11/2024,4961.6,1287378.649,0,0
21/11/2024,4910,1068965.599,0,0
22/11/2024,9341.8664,1426861.936,0,0
23/11/2024,15257.646,2497607.552,0,0
24/11/2024,12174.6588,2422922.289,0,0
25/11/2024,8655.674,1369928.718,0,0
26/11/2024,8908.396,1214613.972,0,0
27/11/2024,10115.82,1339273.745,0,0
28/11/2024,6918.2908,1063635.179,0,0
29/11/2024,10342.3957,1503886.487,0,0
30/11/2024,12134.94,2262807.294,0,0
01/12/2024,11718.1622,2521900.816,0,0
02/12/2024,7971.75,1706341.361,0,0
03/12/2024,10995.7736,1497286.333,0,0
04/12/2024,8064.349,1695585.615,0,0
05/12/2024,2747.04,442385.2755,0,0
06/12/2024,364.56,719956.776,0,0
07/12/2024,2916.86,989416.5146,0,0
08/12/2024,2983.9648,966016.5746,0,0
09/12/2024,2221.34,715371.2091,0,0
10/12/2024,427.42,544643.183,0,0
11/12/2024,5968,582521.5958,0,0
12/12/2024,1002.86,484959.7204,0,0
13/12/2024,3544.8192,527720.0216,0,0
14/12/2024,3803.35,665896.0027,0,0
15/12/2024,3724.75,819312.6173,0,0
16/12/2024,518.24,548382.517,0,0
17/12/2024,1114.13,455168.5672,0,0
18/12/2024,1035.64,350660.0222,0,0
19/12/2024,1894.2,813471.1288,0,0
20/12/2024,3516.3,679535.1449,0,0
21/12/2024,4932.846,1091948.535,0,0
22/12/2024,3217.15,977259.6708,0,0
23/12/2024,4396.44,362425.3568,0,0
